Date,Open,High,Low,Close,Volume,Adj Close
2017-03-31,156.00,157.00,155.50,156.10,535800,156.10
2017-03-30,156.50,157.20,156.15,156.40,583200,156.40
2017-03-29,157.10,159.55,154.70,156.25,791400,156.25
2017-03-28,154.00,156.95,153.70,156.80,577800,156.80
2017-03-27,152.20,153.80,151.70,153.80,468700,153.80
2017-03-24,152.75,154.30,152.10,154.05,384500,154.05
2017-03-23,150.55,153.35,150.10,153.00,349900,153.00
2017-03-22,152.25,152.30,150.30,150.30,486300,150.30
2017-03-21,154.15,154.40,153.05,153.15,417300,153.15
2017-03-20,153.50,154.55,153.30,153.60,240200,153.60
2017-03-17,151.65,154.65,151.45,154.45,994200,154.45
2017-03-16,154.50,154.60,151.50,151.75,560200,151.75
2017-03-15,153.40,154.50,152.85,153.00,391100,153.00
2017-03-14,151.30,153.50,150.70,153.15,430900,153.15
2017-03-13,151.85,153.25,151.25,151.25,389700,151.25
2017-03-10,153.35,153.50,150.60,152.00,557700,152.00
2017-03-09,152.60,154.80,150.65,153.05,730800,153.05
2017-03-08,150.65,153.00,150.00,152.30,512500,152.30
2017-03-07,150.65,151.60,150.50,151.30,395800,151.30
2017-03-06,151.00,151.40,149.90,150.55,498000,150.55
2017-03-03,152.90,153.35,150.80,151.85,856100,151.85
2017-03-02,155.45,155.85,153.65,154.35,439500,154.35
2017-03-01,154.15,156.15,154.15,156.15,395600,156.15
2017-02-28,152.95,153.65,152.00,153.35,297800,153.35
2017-02-27,152.80,154.45,152.10,153.35,283000,153.35
2017-02-24,152.30,153.05,150.55,152.45,460400,152.45
2017-02-23,154.10,154.90,152.80,152.80,361900,152.80
2017-02-22,155.00,155.15,153.60,153.90,358600,153.90
2017-02-21,154.20,154.90,152.85,154.50,322400,154.50
2017-02-20,152.50,154.05,152.15,153.85,244300,153.85
2017-02-17,151.00,152.20,150.70,152.20,451000,152.20
2017-02-16,152.45,152.95,150.95,151.55,376800,151.55
2017-02-15,152.30,153.00,150.55,153.00,602900,153.00
2017-02-14,151.35,153.25,151.25,151.85,371800,151.85
2017-02-13,150.55,152.90,150.50,152.25,329700,152.25
2017-02-10,149.20,150.70,147.95,150.30,556200,150.30
2017-02-09,147.45,148.60,147.20,148.20,537600,148.20
2017-02-08,146.65,147.25,145.60,147.10,403200,147.10
2017-02-07,146.60,147.95,146.15,146.60,500100,146.60
2017-02-06,148.00,149.90,147.00,147.00,632000,147.00
2017-02-03,148.70,149.80,147.10,149.80,730900,149.80
2017-02-02,150.00,150.45,148.15,149.00,766500,149.00
2017-02-01,150.25,151.80,149.70,150.00,373000,150.00
2017-01-31,152.60,153.10,150.45,150.45,545400,150.45
2017-01-30,153.95,154.65,152.10,152.10,478400,152.10
2017-01-27,153.85,156.45,153.85,154.35,504100,154.35
2017-01-26,154.05,155.30,152.35,153.95,717200,153.95
2017-01-25,151.65,153.25,151.00,152.85,444300,152.85
2017-01-24,149.85,150.50,149.30,150.50,313100,150.50
2017-01-23,150.35,151.00,149.30,149.75,456500,149.75
2017-01-20,151.75,151.80,150.10,151.60,770800,151.60
2017-01-19,152.80,153.90,152.10,152.25,541200,152.25
2017-01-18,153.95,154.45,152.65,153.20,446800,153.20
2017-01-17,152.80,153.80,152.05,153.70,452100,153.70
2017-01-16,154.20,154.35,152.75,153.10,363500,153.10
2017-01-13,154.55,155.75,154.30,155.10,468700,155.10
2017-01-12,154.40,154.95,151.90,154.60,598200,154.60
2017-01-11,154.70,155.55,152.65,155.25,787200,155.25
2017-01-10,154.90,155.70,153.95,155.30,507000,155.30
2017-01-09,154.15,155.20,152.75,155.20,492100,155.20
2017-01-06,153.75,154.60,151.60,153.85,600400,153.85
2017-01-05,154.00,154.70,151.55,154.70,750000,154.70
2017-01-04,157.25,157.45,154.55,155.85,487300,155.85
2017-01-03,158.65,158.90,156.25,157.70,455600,157.70
2017-01-02,156.00,158.90,155.55,158.50,228300,158.50
2016-12-30,157.50,157.85,156.10,156.10,236400,156.10
2016-12-29,158.20,158.20,157.00,157.85,190600,157.85
2016-12-28,158.15,159.05,157.70,158.70,293200,158.70
2016-12-27,158.25,158.80,157.05,157.80,194100,157.80
2016-12-26,158.10,158.10,158.10,158.10,000,158.10
2016-12-23,157.75,158.35,156.50,158.10,371800,158.10
2016-12-22,159.10,159.55,156.25,157.25,555500,157.25
2016-12-21,157.30,161.25,156.50,158.90,1027500,158.90
2016-12-20,163.65,166.00,156.00,157.00,1823700,157.00
2016-12-19,162.85,163.60,161.90,163.55,420300,163.55
2016-12-16,161.10,162.75,160.95,162.75,1372000,162.75
2016-12-15,158.55,162.10,158.40,161.30,815900,161.30
2016-12-14,158.20,159.00,157.40,157.40,522100,157.40
2016-12-13,158.85,159.70,157.60,158.55,486600,158.55
2016-12-12,161.35,161.60,158.75,159.20,463500,159.20
2016-12-09,162.00,162.40,160.45,161.00,427800,161.00
2016-12-08,161.00,162.25,159.15,161.90,592200,161.90
2016-12-07,157.55,160.65,157.05,160.05,1142400,160.05
2016-12-06,155.30,156.40,154.00,156.30,522000,156.30
2016-12-05,156.40,158.70,154.95,155.95,592600,155.95
2016-12-02,156.60,158.25,155.75,156.65,566200,156.65
2016-12-01,159.00,159.80,155.95,157.00,914500,157.00
2016-11-30,160.10,162.75,157.05,157.20,2282300,157.20
2016-11-29,149.50,150.95,148.45,150.10,479600,150.10
2016-11-28,151.95,152.00,148.95,149.75,437300,149.75
2016-11-25,153.40,153.85,152.05,152.30,293900,152.30
2016-11-24,153.85,154.80,152.50,153.50,190100,153.50
2016-11-23,152.00,154.10,151.85,153.30,525400,153.30
2016-11-22,153.00,154.15,151.55,151.55,408300,151.55
2016-11-21,153.65,154.30,150.90,151.90,404700,151.90
2016-11-18,152.90,153.40,151.30,152.45,428100,152.45
2016-11-17,150.30,152.60,150.05,152.60,455400,152.60
2016-11-16,151.85,152.35,149.85,150.40,400400,150.40
2016-11-15,152.75,153.05,150.35,151.20,395300,151.20
2016-11-14,153.20,154.95,152.30,153.00,349300,153.00
2016-11-11,152.70,153.80,151.65,152.55,502000,152.55
2016-11-10,151.30,154.00,150.70,152.50,645700,152.50
2016-11-09,145.50,151.60,145.40,151.50,686200,151.50
2016-11-08,148.95,151.10,148.70,150.05,402000,150.05
2016-11-07,148.00,149.45,147.40,148.75,340000,148.75
2016-11-04,144.85,146.65,144.20,145.85,362600,145.85
2016-11-03,147.45,147.45,145.40,145.55,307400,145.55
2016-11-02,147.05,148.15,146.75,147.35,388400,147.35
2016-11-01,150.75,153.45,147.75,148.05,396600,148.05
2016-10-31,150.90,151.50,149.35,150.30,454100,150.30
2016-10-28,149.90,153.00,148.55,151.20,940900,151.20
2016-10-27,146.15,147.00,144.70,146.50,497700,146.50
2016-10-26,146.85,147.20,145.50,146.15,407700,146.15
2016-10-25,149.75,150.45,146.80,147.35,540200,147.35
2016-10-24,149.15,150.75,149.15,149.70,336500,149.70
2016-10-21,148.80,149.55,147.85,148.35,361700,148.35
2016-10-20,149.15,149.65,147.05,148.45,446700,148.45
2016-10-19,149.65,149.90,148.45,149.40,288700,149.40
2016-10-18,148.90,150.65,148.35,149.80,408100,149.80
2016-10-17,148.25,148.85,147.55,147.85,317100,147.85
2016-10-14,146.40,148.75,146.35,148.30,361800,148.30
2016-10-13,146.00,146.90,144.70,146.00,486900,146.00
2016-10-12,148.25,148.55,146.45,146.90,301500,146.90
2016-10-11,149.05,150.35,148.10,148.10,270700,148.10
2016-10-10,148.20,149.95,147.30,149.55,331100,149.55
2016-10-07,152.30,152.45,147.30,147.80,737800,147.80
2016-10-06,152.95,153.00,150.90,152.25,392900,152.25
2016-10-05,153.05,153.35,151.90,152.55,344300,152.55
2016-10-04,150.60,154.30,150.10,153.85,645300,153.85
2016-10-03,151.30,151.30,151.30,151.30,000,151.30
2016-09-30,146.95,151.40,145.60,151.30,930500,151.30
2016-09-29,150.00,150.40,147.60,148.00,528000,148.00
2016-09-28,143.90,150.70,143.70,148.55,1097000,148.55
2016-09-27,143.55,144.05,141.30,143.00,472300,143.00
2016-09-26,144.50,146.00,142.25,143.15,503000,143.15
2016-09-23,146.00,146.00,144.45,145.10,305100,145.10
2016-09-22,144.60,146.25,144.10,145.90,448700,145.90
2016-09-21,145.80,146.00,143.55,143.80,439700,143.80
2016-09-20,144.50,146.15,144.40,144.80,613400,144.80
2016-09-19,143.50,144.20,142.60,144.20,443200,144.20
2016-09-16,142.65,144.20,142.30,143.15,798600,143.15
2016-09-15,143.00,144.30,142.40,143.10,551100,143.10
2016-09-14,142.50,144.00,142.00,143.00,1037100,143.00
2016-09-13,138.00,146.25,137.65,144.85,1735500,144.85
2016-09-12,137.00,138.90,135.65,138.45,1770300,138.45
2016-09-09,150.00,150.85,148.35,148.85,462000,148.85
2016-09-08,154.05,154.05,148.95,150.00,671800,150.00
2016-09-07,153.05,155.50,151.85,154.25,412400,154.25
2016-09-06,155.30,155.70,152.85,153.05,541400,153.05
2016-09-05,156.95,158.00,155.40,155.70,353800,155.70
2016-09-02,156.20,156.30,154.55,155.50,521100,155.50
2016-09-01,153.70,156.90,153.65,156.30,977200,156.30
2016-08-31,153.00,154.15,151.50,153.55,501500,153.55
2016-08-30,155.00,156.15,153.50,153.75,501600,153.75
2016-08-29,154.45,155.25,152.35,154.60,336500,154.60
2016-08-26,154.20,156.10,153.50,155.70,325000,155.70
2016-08-25,154.90,155.25,153.05,154.90,515100,154.90
2016-08-24,152.70,156.00,151.90,156.00,632000,156.00
2016-08-23,149.85,154.40,149.45,153.70,747500,153.70
2016-08-22,150.50,151.10,147.90,149.45,600400,149.45
2016-08-19,151.00,151.70,150.10,151.05,620700,151.05
2016-08-18,151.00,151.50,148.50,150.60,902600,150.60
2016-08-17,150.55,151.65,147.35,150.25,1728300,150.25
2016-08-16,147.00,155.45,144.80,154.80,3870600,154.80
2016-08-15,138.60,140.35,138.60,139.35,221000,139.35
2016-08-12,138.95,139.50,138.30,138.80,348800,138.80
2016-08-11,139.15,139.80,138.10,139.25,366800,139.25
2016-08-10,138.80,140.10,138.25,138.65,546900,138.65
2016-08-09,135.75,139.30,135.60,139.10,647100,139.10
2016-08-08,134.10,137.30,133.70,136.20,651600,136.20
2016-08-05,129.30,133.35,129.20,133.35,545500,133.35
2016-08-04,129.20,129.75,128.30,128.65,392600,128.65
2016-08-03,127.35,128.75,126.00,128.25,395300,128.25
2016-08-02,128.70,128.80,126.00,126.15,373900,126.15
2016-08-01,129.95,130.70,128.30,129.05,360500,129.05
2016-07-29,129.85,129.85,127.85,128.70,554200,128.70
2016-07-28,130.00,131.50,125.25,129.10,1105500,129.10
2016-07-27,129.90,132.10,129.45,131.20,540100,131.20
2016-07-26,129.00,129.40,128.10,128.65,244800,128.65
2016-07-25,128.95,130.20,128.30,129.15,259100,129.15
2016-07-22,128.30,128.90,127.20,128.80,210300,128.80
2016-07-21,128.35,128.50,126.05,128.35,274800,128.35
2016-07-20,127.15,128.30,126.60,127.65,217000,127.65
2016-07-19,128.55,128.70,126.20,127.05,347600,127.05
2016-07-18,128.60,129.95,128.25,129.05,348200,129.05
2016-07-15,127.60,128.75,127.30,128.40,359100,128.40
2016-07-14,126.10,128.70,126.05,128.25,567200,128.25
2016-07-13,125.70,126.65,125.05,125.05,339900,125.05
2016-07-12,124.00,126.80,123.90,125.65,344300,125.65
2016-07-11,123.90,125.00,123.65,124.60,359100,124.60
2016-07-08,119.70,123.45,119.55,122.55,465700,122.55
2016-07-07,121.00,121.10,116.80,120.65,1496000,120.65
2016-07-06,122.95,123.35,120.05,122.00,661300,122.00
2016-07-05,125.80,125.90,122.90,123.75,476300,123.75
2016-07-04,128.65,129.05,126.15,126.35,318800,126.35
2016-07-01,125.70,129.05,125.60,128.50,555600,128.50
2016-06-30,124.50,125.50,123.05,125.35,513200,125.35
2016-06-29,123.95,125.55,123.45,124.50,459400,124.50
2016-06-28,123.00,124.80,122.15,122.35,539500,122.35
2016-06-27,123.80,124.45,120.85,121.30,1094700,121.30
2016-06-24,121.30,125.75,120.05,124.45,1633200,124.45
2016-06-23,128.35,132.05,128.10,132.00,701300,132.00
2016-06-22,129.05,129.30,127.45,127.45,570400,127.45
2016-06-21,127.10,128.45,126.75,127.90,391900,127.90
2016-06-20,127.40,128.45,126.90,127.15,553600,127.15
2016-06-17,125.25,125.85,123.90,124.55,713900,124.55
2016-06-16,124.90,126.35,123.65,124.45,529200,124.45
2016-06-15,125.45,126.80,125.20,126.10,409900,126.10
2016-06-14,125.25,125.80,123.90,124.90,482500,124.90
2016-06-13,126.30,126.95,125.65,125.75,463800,125.75
2016-06-10,130.25,130.30,127.10,127.75,483700,127.75
2016-06-09,132.55,132.55,130.35,130.75,362500,130.75
2016-06-08,132.65,133.30,131.90,132.65,245900,132.65
2016-06-07,133.05,134.45,133.00,133.30,299600,133.30
2016-06-06,131.95,132.95,131.85,132.10,197000,132.10
2016-06-03,134.20,135.00,131.40,131.75,312300,131.75
2016-06-02,133.80,135.05,133.60,134.15,292500,134.15
2016-06-01,134.95,134.95,132.90,134.00,279300,134.00
2016-05-31,134.90,135.15,133.40,134.50,788800,134.50
2016-05-30,134.00,134.90,133.50,134.85,214000,134.85
2016-05-27,133.60,134.00,133.10,133.85,428000,133.85
